#Data tag : 19v3 , Norm tag: composite
+-------------+-------------------+------+------+----------------+---------------+
| run:fill    | time              | nls  | ncms | delivered(/pb) | recorded(/pb) |
| 297722:5887 | 06/29/17 20:40:23 | 295  | 287  | 96.878255486   | 90.928385678  |
| 297723:5887 | 06/29/17 23:02:24 | 185  | 185  | 53.721529262   | 51.758050571  |
| 298996:5942 | 07/14/17 07:36:18 | 184  | 184  | 28.674296698   | 22.845749968  |
| 298997:5942 | 07/14/17 08:52:13 | 38   | 38   | 5.792101810    | 3.924806937   |
| 299000:5942 | 07/14/17 09:20:59 | 74   | 74   | 10.062948851   | 8.038139210   |
| 299042:5946 | 07/14/17 20:11:50 | 23   | 23   | 4.137075545    | 2.019627470   |
| 299061:5950 | 07/15/17 01:00:37 | 318  | 311  | 79.698198057   | 64.855291727  |
| 299062:5950 | 07/15/17 03:04:08 | 301  | 294  | 69.058224922   | 58.465106099  |
| 299064:5950 | 07/15/17 05:04:34 | 79   | 78   | 16.999333731   | 15.542907940  |
| 299065:5950 | 07/15/17 05:49:29 | 328  | 321  | 64.549901552   | 57.497448071  |
| 299067:5950 | 07/15/17 08:12:54 | 459  | 459  | 76.024723177   | 68.806839611  |
| 299096:5952 | 07/15/17 15:27:14 | 96   | 96   | 26.625680015   | 24.066610106  |
| 299149:5954 | 07/16/17 01:40:41 | 442  | 442  | 120.827012237  | 108.248934777 |
| 299178:5958 | 07/16/17 12:24:55 | 74   | 70   | 19.781371489   | 15.790997688  |
| 299180:5958 | 07/16/17 12:57:51 | 94   | 68   | 25.881680713   | 15.575464604  |
| 299184:5958 | 07/16/17 13:42:24 | 561  | 555  | 136.315474533  | 123.264916031 |
| 299185:5958 | 07/16/17 17:26:14 | 120  | 120  | 25.655519468   | 23.452406354  |
| 299327:5960 | 07/18/17 07:53:09 | 72   | 69   | 17.371543532   | 15.178467263  |
| 299329:5960 | 07/18/17 08:25:06 | 172  | 172  | 39.728373625   | 37.486979818  |
+-------------+-------------------+------+------+----------------+---------------+
#Summary: 
+-------+------+-------+-------+-------------------+------------------+
| nfill | nrun | nls   | ncms  | totdelivered(/pb) | totrecorded(/pb) |
+-------+------+-------+-------+-------------------+------------------+
| 26    | 83   | 24600 | 24386 | 5106.958278230    | 4803.371585736   |
+-------+------+-------+-------+-------------------+------------------+
#Check JSON:
#(run,ls) in json but not in results: []
